,0,1,t
0,study: new weight loss drugs have cardiovascular benefits… due to the lost weight,"ozempic and wegovy, the new weight-loss drugs, have benefits for heart health as well, according to a study published in the new england journal of medicine bringing down body weight is key to the improved outcomes on a 100-point scale commonly used to …","study: new weight loss drugs have cardiovascular benefits… due to the lost weightozempic and wegovy, the new weight-loss drugs, have benefits for heart health as well, according to a study published in the new england journal of medicine bringing down body weight is key to the improved outcomes on a 100-point scale commonly used to …"
1,"parental incarceration increases cardiovascular risk in young adults, study suggests","new research suggests parental incarceration elevates cardiovascular risk in early adulthood, potentially contributing to larger health disparities","parental incarceration increases cardiovascular risk in young adults, study suggestsnew research suggests parental incarceration elevates cardiovascular risk in early adulthood, potentially contributing to larger health disparities"
2,samsung's galaxy watch 6 review: evolution not revolution,"samsungs galaxy watch 6 received a mostly modest upgrade from its predecessor, the galaxy watch 5 sure, it may have worked to improve some health tracking features and it even managed to give the wearable a sleeker design while extending battery life but …","samsung's galaxy watch 6 review: evolution not revolutionsamsungs galaxy watch 6 received a mostly modest upgrade from its predecessor, the galaxy watch 5 sure, it may have worked to improve some health tracking features and it even managed to give the wearable a sleeker design while extending battery life but …"
3,what can we do about ultraprocessed foods?,researchers are figuring out the features of these foods that harm our health,what can we do about ultraprocessed foods?researchers are figuring out the features of these foods that harm our health
4,"higher intakes of potassium and magnesium, but not lower sodium, reduce cvd risk","we explored the dose-response relations of sodium, potassium, magnesium and calcium with cardiovascular disease (cvd) risk in the framingham offspring study, as well as the combined effects of these minerals analyses included 2362 30-64 year-old men and wome…","higher intakes of potassium and magnesium, but not lower sodium, reduce cvd riskwe explored the dose-response relations of sodium, potassium, magnesium and calcium with cardiovascular disease (cvd) risk in the framingham offspring study, as well as the combined effects of these minerals analyses included 2362 30-64 year-old men and wome…"
5,this sleep-enhancing bed accessory uses vibrations to improve your sleep and wake up energized,"this sleep-enhancing bed accessory uses vibrations to improve your sleep and wake up energizedpeople are finally putting sleep in its proper place in their lives after so many years of trying to maximize productivity during waking hours, people","this sleep-enhancing bed accessory uses vibrations to improve your sleep and wake up energizedthis sleep-enhancing bed accessory uses vibrations to improve your sleep and wake up energizedpeople are finally putting sleep in its proper place in their lives after so many years of trying to maximize productivity during waking hours, people"
6,how to figure out if moderate drinking is too risky for you,"new research shows any alcohol can harm your body, but the increased risk may not be huge","how to figure out if moderate drinking is too risky for younew research shows any alcohol can harm your body, but the increased risk may not be huge"
7,study finds 68 new genes linked to cardiovascular disease risks,"a high resting heart rate, which is generally considered anything above 100 beats per minute (bpm), has been linked to an elevated risk of serious cardiovascular conditions such coronary artery disease and stroke and while the cause of a high resting heart r…","study finds 68 new genes linked to cardiovascular disease risksa high resting heart rate, which is generally considered anything above 100 beats per minute (bpm), has been linked to an elevated risk of serious cardiovascular conditions such coronary artery disease and stroke and while the cause of a high resting heart r…"
8,death of woman following attacks on north carolina power stations ruled a homicide,"karin zoanelli, 87, was found unresponsive in her home in moore county, north carolina, on the night of dec 3, 2022","death of woman following attacks on north carolina power stations ruled a homicidekarin zoanelli, 87, was found unresponsive in her home in moore county, north carolina, on the night of dec 3, 2022"
9,ozempic can cause major loss of muscle mass and reduce bone density,"weight loss medications like ozempic and wegovy can help people drop pounds quickly, but they can also cause a rapid loss of muscle mass and bone density unless lifestyle changes are made","ozempic can cause major loss of muscle mass and reduce bone densityweight loss medications like ozempic and wegovy can help people drop pounds quickly, but they can also cause a rapid loss of muscle mass and bone density unless lifestyle changes are made"
